"Circoscrizione";"Nazionalità";"Immigrati"
"NORD-EST";"CAMBOGIANA";
"NORD-EST";"CANADESE";1
"NORD-EST";"CECA";
"NORD-EST";"CILENA";
"NORD-EST";"CINESE";13
"NORD-EST";"CIPRIOTA";
"NORD-EST";"COLOMBIANA";3
"NORD-EST";"CONGOLESE";
"NORD-EST";"COSTARICANA";
"NORD-EST";"CROATA";6
"NORD-EST";"CUBANA";7
"NORD-EST";"DANESE";
"NORD-EST";"DEL BELIZE";
"NORD-EST";"DEL BENIN";
"NORD-EST";"DEL BURKINA";
"NORD-EST";"DEL CAMERUN";2
"NORD-EST";"DEL CIAD";
"NORD-EST";"DEL NIGER";
"NORD-EST";"DELLA COSTA D'AVORIO";5
"NORD-EST";"DELLA GEORGIA";2
"NORD-EST";"DELLA SIERRA LEONE";
"NORD-EST";"DI SAO TOME' E PRINCIPE";
"NORD-EST";"DI TAIWAN";
"NORD-EST";"DOMINICANA";8
"NORD-EST";"DOMINICIANA";
"NORD-EST";"ECUADOREGNA";1
"NORD-EST";"EGIZIANA";4
"NORD-EST";"ERITREA";
"NORD-EST";"ESTONE";
"NORD-EST";"ETIOPE";
"NORD-EST";"FILIPPINA";17
"NORD-EST";"FINLANDESE";
"NORD-EST";"FRANCESE";5
"NORD-EST";"GABONESE";
"NORD-EST";"GAMBIANA";
"NORD-EST";"GHANESE";23
"NORD-EST";"GIAPPONESE";3
"NORD-EST";"GIORDANA";
"NORD-EST";"GRECA";1
"NORD-EST";"GUINEANA";5
"NORD-EST";"GUINEANA BISSAUESE";7
"NORD-EST";"HAITIANA";
"NORD-EST";"HONDUREGNA";
"NORD-EST";"IEMENITA";
"NORD-EST";"IGNOTA";
"NORD-EST";"INDIANA";16
"NORD-EST";"INDONESIANA";
"NORD-EST";"IRACHENA";
"NORD-EST";"IRANIANA";
"NORD-EST";"IRLANDESE";
"NORD-EST";"ISLANDESE";
"NORD-EST";"ISRAELIANA";1
"NORD-EST";"KAZACA";
"NORD-EST";"KENIANA";
"NORD-EST";"KOSOVARA";
"NORD-EST";"LETTONE";
"NORD-EST";"LIBANESE";7
"NORD-EST";"LIBERIANA";
"NORD-EST";"LITUANA";1
"NORD-EST";"LUSSEMBURGHESE";
"NORD-EST";"MACEDONE";2
"NORD-EST";"MALGASCIA";
"NORD-EST";"MALINA";
"NORD-EST";"MALTESE";
"NORD-EST";"MAROCCHINA";77
"NORD-EST";"MAURITANA";
"NORD-EST";"MAURIZIANA";3
"NORD-EST";"MESSICANA";1
"NORD-EST";"MOLDAVA";75
"NORD-EST";"MONTENEGRINA";2
"NORD-EST";"MOZAMBICANA";
"NORD-EST";"NEOZELANDESE";
"NORD-EST";"NEPALESE";2
"NORD-EST";"NICARAGUENSE";
"NORD-EST";"NIGERIANA";90
"NORD-EST";"NORVEGESE";
"NORD-EST";"OLANDESE";
"NORD-EST";"PACHISTANA";4
"NORD-EST";"PALESTINESE";
"NORD-EST";"PANAMENSE";
"NORD-EST";"PARAGUAIANA";
"NORD-EST";"PERUVIANA";14
"NORD-EST";"POLACCA";10
"NORD-EST";"PORTOGHESE";
"NORD-EST";"RUANDESE";
"NORD-EST";"RUMENA";276
"NORD-EST";"RUSSA";4
"NORD-EST";"SALVADOREGNA";
"NORD-EST";"SANMARINESE";
"NORD-EST";"SEICELLE";
"NORD-EST";"SENEGALESE";6
"NORD-EST";"SERBA";4
"NORD-EST";"SINGAPORE";1
"NORD-EST";"SIRIANA";
"NORD-EST";"SLOVACCA";2
"NORD-EST";"SLOVENA";
"NORD-EST";"SOMALA";
"NORD-EST";"SPAGNOLA";8
"NORD-EST";"SRILANKESE";85
"NORD-EST";"STATUNITENSE";7
"NORD-EST";"STRANIERA";1
"NORD-EST";"SUDAFRICANA";
"NORD-EST";"SUDANESE";
"NORD-EST";"SUDCOREANA";1
"NORD-EST";"SVEDESE";
"NORD-EST";"SVIZZERA";
"NORD-EST";"TAILANDESE";2
"NORD-EST";"TANZANIANA";
"NORD-EST";"TEDESCA";13
"NORD-EST";"TIMORESE";
"NORD-EST";"TOGOLESE";1
"NORD-EST";"TUNISINA";10
"NORD-EST";"TURCA";
"NORD-EST";"UCRAINA";17
"NORD-EST";"UGANDESE";
"NORD-EST";"UNGHERESE";4
"NORD-EST";"URUGUAIANA";5
"NORD-EST";"UZBECA";
"NORD-EST";"VENEZUELANA";
"NORD-EST";"VIETNAMITA";
"NORD-EST";"YUGOSLAVA";1
"NORD-EST";"ZAMBESE";
"NORD-OVEST";"AFGANA";
"NORD-OVEST";"ALBANESE";123
"NORD-OVEST";"ALGERINA";32
"NORD-OVEST";"ANGOLANA";
"NORD-OVEST";"APOLIDE";2
"NORD-OVEST";"ARGENTINA";3
"NORD-OVEST";"ARMENA";
"NORD-OVEST";"AUSTRALIANA";1
"NORD-OVEST";"AUSTRIACA";7
"NORD-OVEST";"BANGLADESH";4
"NORD-OVEST";"BARBADORENA";
"NORD-OVEST";"BELGA";8
"NORD-OVEST";"BIELORUSSA";4
"NORD-OVEST";"BIRMANA";
"NORD-OVEST";"BOLIVIANA";
"NORD-OVEST";"BOSNIACA";21
"NORD-OVEST";"BRASILIANA";81
"NORD-OVEST";"BRITANNICA";38
"NORD-OVEST";"BULGARA";27
"NORD-OVEST";"BURUNDA";4
"NORD-OVEST";"CAMBOGIANA";
"NORD-OVEST";"CANADESE";3
"NORD-OVEST";"CECA";4
"NORD-OVEST";"CILENA";2
"NORD-OVEST";"CINESE";35
"NORD-OVEST";"CIPRIOTA";
"NORD-OVEST";"COLOMBIANA";37
"NORD-OVEST";"CONGOLESE";
"NORD-OVEST";"COSTARICANA";
"NORD-OVEST";"CROATA";11
"NORD-OVEST";"CUBANA";12
"NORD-OVEST";"DANESE";1
"NORD-OVEST";"DEL BELIZE";
"NORD-OVEST";"DEL BENIN";1
"NORD-OVEST";"DEL BURKINA";1
"NORD-OVEST";"DEL CAMERUN";19
"NORD-OVEST";"DEL CIAD";
"NORD-OVEST";"DEL NIGER";1
"NORD-OVEST";"DELLA COSTA D'AVORIO";17
"NORD-OVEST";"DELLA GEORGIA";6
"NORD-OVEST";"DELLA SIERRA LEONE";
"NORD-OVEST";"DI SAO TOME' E PRINCIPE";
"NORD-OVEST";"DI TAIWAN";
"NORD-OVEST";"DOMINICANA";21
"NORD-OVEST";"DOMINICIANA";
"NORD-OVEST";"ECUADOREGNA";1
"NORD-OVEST";"EGIZIANA";
"NORD-OVEST";"ERITREA";20
"NORD-OVEST";"ESTONE";1
"NORD-OVEST";"ETIOPE";3
"NORD-OVEST";"FILIPPINA";29
"NORD-OVEST";"FINLANDESE";2
"NORD-OVEST";"FRANCESE";20
"NORD-OVEST";"GABONESE";
"NORD-OVEST";"GAMBIANA";3
"NORD-OVEST";"GHANESE";53
"NORD-OVEST";"GIAPPONESE";9
"NORD-OVEST";"GIORDANA";
"NORD-OVEST";"GRECA";1
"NORD-OVEST";"GUINEANA";2
"NORD-OVEST";"GUINEANA BISSAUESE";10
"NORD-OVEST";"HAITIANA";
"NORD-OVEST";"HONDUREGNA";2
"NORD-OVEST";"IEMENITA";
"NORD-OVEST";"IGNOTA";
"NORD-OVEST";"INDIANA";6
"NORD-OVEST";"INDONESIANA";
"NORD-OVEST";"IRACHENA";1
"NORD-OVEST";"IRANIANA";16
"NORD-OVEST";"IRLANDESE";3
"NORD-OVEST";"ISLANDESE";
"NORD-OVEST";"ISRAELIANA";6
"NORD-OVEST";"KAZACA";3
"NORD-OVEST";"KENIANA";8
"NORD-OVEST";"KOSOVARA";
"NORD-OVEST";"LETTONE";
"NORD-OVEST";"LIBANESE";
"NORD-OVEST";"LIBERIANA";1
"NORD-OVEST";"LITUANA";5
"NORD-OVEST";"LUSSEMBURGHESE";
"NORD-OVEST";"MACEDONE";7
"NORD-OVEST";"MALGASCIA";
"NORD-OVEST";"MALINA";4
"NORD-OVEST";"MALTESE";
"NORD-OVEST";"MAROCCHINA";110
"NORD-OVEST";"MAURITANA";1
"NORD-OVEST";"MAURIZIANA";
"NORD-OVEST";"MESSICANA";4
"NORD-OVEST";"MOLDAVA";378
"NORD-OVEST";"MONTENEGRINA";1
"NORD-OVEST";"MOZAMBICANA";
"NORD-OVEST";"NEOZELANDESE";1
"NORD-OVEST";"NEPALESE";
"NORD-OVEST";"NICARAGUENSE";
"NORD-OVEST";"NIGERIANA";75
"NORD-OVEST";"NORVEGESE";
"NORD-OVEST";"OLANDESE";15
"NORD-OVEST";"PACHISTANA";21
"NORD-OVEST";"PALESTINESE";
"NORD-OVEST";"PANAMENSE";
"NORD-OVEST";"PARAGUAIANA";14
"NORD-OVEST";"PERUVIANA";29
"NORD-OVEST";"POLACCA";25
"NORD-OVEST";"PORTOGHESE";4
"NORD-OVEST";"RUANDESE";2
"NORD-OVEST";"RUMENA";529
"NORD-OVEST";"RUSSA";25
"NORD-OVEST";"SALVADOREGNA";
"NORD-OVEST";"SANMARINESE";1
"NORD-OVEST";"SEICELLE";
"NORD-OVEST";"SENEGALESE";15
"NORD-OVEST";"SERBA";21
"NORD-OVEST";"SINGAPORE";1
"NORD-OVEST";"SIRIANA";
"NORD-OVEST";"SLOVACCA";4
"NORD-OVEST";"SLOVENA";
"NORD-OVEST";"SOMALA";2
"NORD-OVEST";"SPAGNOLA";23
"NORD-OVEST";"SRILANKESE";844
"NORD-OVEST";"STATUNITENSE";26
"NORD-OVEST";"STRANIERA";2
"NORD-OVEST";"SUDAFRICANA";
"NORD-OVEST";"SUDANESE";2
"NORD-OVEST";"SUDCOREANA";
"NORD-OVEST";"SVEDESE";11
"NORD-OVEST";"SVIZZERA";12
"NORD-OVEST";"TAILANDESE";4
"NORD-OVEST";"TANZANIANA";
"NORD-OVEST";"TEDESCA";77
"NORD-OVEST";"TIMORESE";
"NORD-OVEST";"TOGOLESE";2
"NORD-OVEST";"TUNISINA";17
"NORD-OVEST";"TURCA";4
"NORD-OVEST";"UCRAINA";60
"NORD-OVEST";"UGANDESE";
"NORD-OVEST";"UNGHERESE";6
"NORD-OVEST";"URUGUAIANA";
"NORD-OVEST";"UZBECA";3
"NORD-OVEST";"VENEZUELANA";7
"NORD-OVEST";"VIETNAMITA";
"NORD-OVEST";"YUGOSLAVA";15
"NORD-OVEST";"ZAMBESE";
"OVEST";"AFGANA";4
"OVEST";"ALBANESE";276
"OVEST";"ALGERINA";56
"OVEST";"ANGOLANA";8
"OVEST";"APOLIDE";
"OVEST";"ARGENTINA";5
"OVEST";"ARMENA";
"OVEST";"AUSTRALIANA";2
"OVEST";"AUSTRIACA";13
"OVEST";"BANGLADESH";8
"OVEST";"BARBADORENA";
"OVEST";"BELGA";5
"OVEST";"BIELORUSSA";7
"OVEST";"BIRMANA";
"OVEST";"BOLIVIANA";8
"OVEST";"BOSNIACA";34
"OVEST";"BRASILIANA";134
"OVEST";"BRITANNICA";19
"OVEST";"BULGARA";40
"OVEST";"BURUNDA";
"OVEST";"CAMBOGIANA";
"OVEST";"CANADESE";2
"OVEST";"CECA";17
"OVEST";"CILENA";4
"OVEST";"CINESE";330
"OVEST";"CIPRIOTA";
"OVEST";"COLOMBIANA";79
"OVEST";"CONGOLESE";17
"OVEST";"COSTARICANA";1
"OVEST";"CROATA";36
"OVEST";"CUBANA";30
"OVEST";"DANESE";2
"OVEST";"DEL BELIZE";
"OVEST";"DEL BENIN";
"OVEST";"DEL BURKINA";
"OVEST";"DEL CAMERUN";16
"OVEST";"DEL CIAD";
"OVEST";"DEL NIGER";
"OVEST";"DELLA COSTA D'AVORIO";26
"OVEST";"DELLA GEORGIA";4
"OVEST";"DELLA SIERRA LEONE";8
"OVEST";"DI SAO TOME' E PRINCIPE";
"OVEST";"DI TAIWAN";1
"OVEST";"DOMINICANA";86
"OVEST";"DOMINICIANA";
"OVEST";"ECUADOREGNA";16
"OVEST";"EGIZIANA";14
"OVEST";"ERITREA";12
"OVEST";"ESTONE";
"OVEST";"ETIOPE";2
"OVEST";"FILIPPINA";42
"OVEST";"FINLANDESE";
"OVEST";"FRANCESE";16
"OVEST";"GABONESE";
"OVEST";"GAMBIANA";3
"OVEST";"GHANESE";272
"OVEST";"GIAPPONESE";2
"OVEST";"GIORDANA";2
"OVEST";"GRECA";3
"OVEST";"GUINEANA";5
"OVEST";"GUINEANA BISSAUESE";18
"OVEST";"HAITIANA";
"OVEST";"HONDUREGNA";
"OVEST";"IEMENITA";
"OVEST";"IGNOTA";
"OVEST";"INDIANA";185
"OVEST";"INDONESIANA";1
"OVEST";"IRACHENA";2
"OVEST";"IRANIANA";2
"OVEST";"IRLANDESE";3
"OVEST";"ISLANDESE";
"OVEST";"ISRAELIANA";3
"OVEST";"KAZACA";2
"OVEST";"KENIANA";1
"OVEST";"KOSOVARA";
"OVEST";"LETTONE";3
"OVEST";"LIBANESE";6
"OVEST";"LIBERIANA";4
"OVEST";"LITUANA";2
"OVEST";"LUSSEMBURGHESE";
"OVEST";"MACEDONE";2
"OVEST";"MALGASCIA";4
"OVEST";"MALINA";2
"OVEST";"MALTESE";
"OVEST";"MAROCCHINA";323
"OVEST";"MAURITANA";
"OVEST";"MAURIZIANA";5
"OVEST";"MESSICANA";5
"OVEST";"MOLDAVA";828
"OVEST";"MONTENEGRINA";6
"OVEST";"MOZAMBICANA";
"OVEST";"NEOZELANDESE";
"OVEST";"NEPALESE";
"OVEST";"NICARAGUENSE";2
"OVEST";"NIGERIANA";485
"OVEST";"NORVEGESE";1
"OVEST";"OLANDESE";8
"OVEST";"PACHISTANA";159
"OVEST";"PALESTINESE";
"OVEST";"PANAMENSE";
"OVEST";"PARAGUAIANA";15
"OVEST";"PERUVIANA";131
"OVEST";"POLACCA";50
"OVEST";"PORTOGHESE";6
"OVEST";"RUANDESE";1
"OVEST";"RUMENA";2015
"OVEST";"RUSSA";60
"OVEST";"SALVADOREGNA";5
"OVEST";"SANMARINESE";
"OVEST";"SEICELLE";
"OVEST";"SENEGALESE";81
"OVEST";"SERBA";50
"OVEST";"SINGAPORE";
"OVEST";"SIRIANA";1
"OVEST";"SLOVACCA";4
"OVEST";"SLOVENA";2
"OVEST";"SOMALA";3
"OVEST";"SPAGNOLA";19
"OVEST";"SRILANKESE";1699
"OVEST";"STATUNITENSE";22
"OVEST";"STRANIERA";3
"OVEST";"SUDAFRICANA";
"OVEST";"SUDANESE";4
"OVEST";"SUDCOREANA";
"OVEST";"SVEDESE";2
"OVEST";"SVIZZERA";2
"OVEST";"TAILANDESE";13
"OVEST";"TANZANIANA";2
"OVEST";"TEDESCA";29
"OVEST";"TIMORESE";
"OVEST";"TOGOLESE";3
"OVEST";"TUNISINA";158
"OVEST";"TURCA";1
"OVEST";"UCRAINA";146
"OVEST";"UGANDESE";
"OVEST";"UNGHERESE";7
"OVEST";"URUGUAIANA";2
"OVEST";"UZBECA";2
"OVEST";"VENEZUELANA";4
"OVEST";"VIETNAMITA";
"OVEST";"YUGOSLAVA";44
"OVEST";"ZAMBESE";
"SUD";"AFGANA";5
"SUD";"ALBANESE";436
"SUD";"ALGERINA";49
"SUD";"ANGOLANA";4
"SUD";"APOLIDE";1
"SUD";"ARGENTINA";7
"SUD";"ARMENA";
"SUD";"AUSTRALIANA";
"SUD";"AUSTRIACA";4
"SUD";"BANGLADESH";25
"SUD";"BARBADORENA";
"SUD";"BELGA";1
"SUD";"BIELORUSSA";11
"SUD";"BIRMANA";
"SUD";"BOLIVIANA";2
"SUD";"BOSNIACA";45
"SUD";"BRASILIANA";79
"SUD";"BRITANNICA";10
"SUD";"BULGARA";52
"SUD";"BURUNDA";1
"SUD";"CAMBOGIANA";3
"SUD";"CANADESE";1
"SUD";"CECA";7
"SUD";"CILENA";1
"SUD";"CINESE";277
"SUD";"CIPRIOTA";1
"SUD";"COLOMBIANA";37
"SUD";"CONGOLESE";21
"SUD";"COSTARICANA";
"SUD";"CROATA";14
"SUD";"CUBANA";7
"SUD";"DANESE";
"SUD";"DEL BELIZE";
"SUD";"DEL BENIN";
